strain,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
257eb400,-6.043306570264209,3.1216206086593177,0.7128023865632905,-1.6386769383403577,-1.8029415743494575,-1.5627568510197976,3.52016503948736,-1.1919684149840766,0.6901720757007552,-1.378152515034477
3efb165d,-6.032127428381632,3.102009017778784,0.7013416957778613,-1.6160148988434144,-1.7809037924619266,-1.5365827390177622,3.468913137951324,-1.1481482590068188,0.6671662895563096,-1.3333246050585823
6b141244,-6.032231754705023,3.1012287966547443,0.7044365315521695,-1.6155091961953894,-1.785390134743971,-1.538905840556175,3.474729129816813,-1.1552661056039106,0.6694832445028784,-1.338589567702731
28ecc71f,-6.03227548638061,3.1043347955374805,0.7028412605312111,-1.6147010232974786,-1.7835128711008785,-1.536650206978313,3.4746470967352048,-1.1538840595380395,0.6680009019492473,-1.342842195701501
fe3066d,-6.032498168288142,3.1043142994906856,0.7005267533400086,-1.617265918291723,-1.784446385189499,-1.5385866071363319,3.4745775166431376,-1.1511644475384781,0.6669885731729552,-1.3346758639677272
40f54507,-6.033284025351368,3.1035993308407765,0.7034935456197636,-1.6173802019383092,-1.785998931656009,-1.5422105275684752,3.474207477544568,-1.1500715670485833,0.666978218452016,-1.3334303934800364
12312fc0,-6.0326883202927695,3.1012196863592516,0.7009862530195495,-1.6161856029977877,-1.781800577367195,-1.542135703749956,3.477117878455566,-1.148477513550689,0.6646103630981693,-1.3402122819224846
117d9c06,-6.032171315633286,3.1030702239731878,0.7021668384050409,-1.617586532887142,-1.7814333749510147,-1.5392452593493862,3.476657383243681,-1.148849787106253,0.6728149964677036,-1.3390676214188522
20632973,-5.669025943094815,2.7051193152065895,0.751753005506327,-1.9796474350040412,-2.2601724885889745,-1.2045621995200797,3.4412005205223504,-1.010633110027541,0.7797411967944979,-1.4225287297509241
283d342c,-6.0344468532067665,3.0975509267202344,0.6987214554131721,-1.6118689701104338,-1.7832576954903179,-1.5445932531680933,3.4948856908212202,-1.136799177867775,0.6541796055717306,-1.3406723441810662
57e5ce31,-6.032938125871026,3.1027015220299607,0.7014748563457671,-1.6165401600862122,-1.782065155851944,-1.538537250486068,3.4752044294122966,-1.1524773927974539,0.6697778852367999,-1.3367700001646023
34e65483,-6.023907928507558,3.106034947516529,0.7690480899761131,-1.5664250684471208,-1.8070896245086425,-1.5321306034728195,3.472962928302271,-1.1858330854637769,0.6357186767535004,-1.3310442729843532
5cf4123,-6.0326763746245105,3.101740521188674,0.7013924575074655,-1.6169119193492543,-1.783095743921204,-1.538565898717948,3.4763136415665534,-1.152768875812511,0.670853322946471,-1.3376888773133284
2f31bb47,-6.032479525171507,3.10417248719705,0.7004130298462015,-1.6168512183572723,-1.7837128083209022,-1.5377407368082903,3.472958297059624,-1.1512086829115695,0.6673693375471292,-1.3393355834657297
5213ce49,-6.032791799038507,3.1015477133360476,0.699376715580729,-1.6157589589890695,-1.7846640188216738,-1.538211618294616,3.4772647021973904,-1.1546295701260476,0.666395465458125,-1.337334089061876
51da3036,-6.032784072592314,3.1023096097946854,0.7016785177649625,-1.617483897946675,-1.7820716312724778,-1.5392403252550932,3.4720954760465212,-1.1526824768660329,0.6713206993553841,-1.3429747469073803
b4a6f85,-6.032906435228712,3.103753220397537,0.7002796400980034,-1.6170511514491965,-1.7848133532618955,-1.5388861684058475,3.469950301044654,-1.1526437476019928,0.6689324751422905,-1.339473064507754
2c339b8b,-6.032640799886801,3.102522829560223,0.7014742708409948,-1.6165755747353243,-1.7824075992267334,-1.539090890194512,3.4772391576630755,-1.1494961271753914,0.6675202052163145,-1.3391260687259954
49ebc631,-6.032993673229944,3.102602265127141,0.7017447967157269,-1.6179047630731107,-1.7847259016644554,-1.540819644025444,3.475860846166649,-1.1528955735728548,0.670814178419919,-1.337315678075577
2fb4111b,-6.032428655019824,3.1030765697025964,0.7004080763107429,-1.6168358480793172,-1.7831632273415277,-1.5358720565322677,3.473916598264993,-1.1553903573611866,0.6695508924417345,-1.3423412789177418
3617e366,-6.031465475805362,3.1040129431744687,0.7005149814068728,-1.6158299712014617,-1.7827178473780092,-1.5375020155802717,3.4781408637569697,-1.1486478995880909,0.6643684874508157,-1.338655716480532
2a900e53,-6.032084394173295,3.103586277542408,0.7001191783200909,-1.6164250726805776,-1.783855270032243,-1.5380215310755305,3.4762089071253293,-1.1530365530201518,0.6663779413193808,-1.3394485757294836
7232956e,-6.032538406604671,3.1021920162135004,0.7014068938153363,-1.6180054464704867,-1.7816166291879623,-1.5378625718686445,3.4768403743598153,-1.1538334976076472,0.6695025968959241,-1.3360544315180825
885b4b9,-6.019914504365123,3.103556700421833,0.7936617784353067,-1.562439674156116,-1.8037542506673219,-1.531272359603605,3.4768707309683893,-1.2029358344271226,0.5936779013477456,-1.3092687301033998
15901667,-6.032251208465794,3.1027325515804485,0.7020633566529633,-1.618747007212526,-1.7806785276911683,-1.5394472704313034,3.4764249182974534,-1.1525142497728629,0.6663680030941335,-1.3391150699400327
2e605d03,-6.032209140151193,3.1020227630512367,0.6997022151241213,-1.615039222382104,-1.7819828780789897,-1.5402993263539193,3.476659192038134,-1.1513345092674243,0.6722584165269994,-1.3393263525715717
7ae52e19,-6.032586092931277,3.1018384007612396,0.7014314772240824,-1.6170656143159985,-1.7837164216277588,-1.5399384923893733,3.475021354808402,-1.1531503790096014,0.6713478466729966,-1.3388883462378707
248d16db,-6.033121210988993,3.1020072006461,0.7009778477017199,-1.6153986677037462,-1.7818361726573972,-1.5401515810753144,3.475519361151675,-1.150683530261938,0.6690866737478429,-1.3385188734101547
4dc2057e,-6.031171081735568,3.0954731338258132,0.6984938924143499,-1.6203043909332633,-1.790207155210115,-1.5405707011823342,3.4681728448842644,-1.1667151743086877,0.6785459284313026,-1.3409183705274135
6047daa3,-6.032235623620792,3.102776584075194,0.6997727696683914,-1.6155633187990945,-1.7836538420403274,-1.5400751087199869,3.476427154042873,-1.1509264508210388,0.6663484517442324,-1.3396395649384885
4b153584,-6.032813484408866,3.1018039793747585,0.7009577821392305,-1.616138478478878,-1.7812584439384307,-1.5392351855318802,3.4787039547764937,-1.1489635184404972,0.6654478884071863,-1.337614788723966
4b6442af,-6.03297962122313,3.1030519371210334,0.7008387965468033,-1.6200421185303682,-1.7875331253492115,-1.5297118124066225,3.4867049766924234,-1.1463708832177915,0.6657680673419811,-1.3396879573838223
3a67631,-6.032585915827636,3.101841350250065,0.7014344038456536,-1.6170611129835155,-1.7836931771202789,-1.5399146243133022,3.4749762828351525,-1.153014890427964,0.6712183194866942,-1.338889021340298
f69b029,-6.032251171843625,3.1027325828211736,0.7020641568602934,-1.6187511533072056,-1.7806749382466607,-1.539449240760559,3.476428723079218,-1.152514634690642,0.666347306772267,-1.3391153898557082
3d448b2f,-6.0321268109927395,3.104542073004401,0.7009713972349548,-1.6176912980585878,-1.7832544369624004,-1.5392871733478313,3.4748136520147086,-1.1486686512439201,0.6703897083494386,-1.3348872717902298
4a840024,-6.0329349590483305,3.101556606284911,0.7007173887308379,-1.6147744236358346,-1.7816773533300785,-1.5407756274167932,3.4799256853079457,-1.1433783114513514,0.6616527684356055,-1.3399812496242125
6234f4b9,-6.031787690734864,3.1038812981524493,0.6994081075835313,-1.6156158417008242,-1.7811805251662252,-1.5385545938032916,3.478433091073133,-1.1478308871942857,0.6747450780820391,-1.336199833327888
214eea38,-6.032130555038294,3.1037268552245365,0.7003572479835549,-1.6174533346126765,-1.780572231614097,-1.5374149148205845,3.475553632378284,-1.1560546360595625,0.664586618667899,-1.345055890386025
5b8e43b,-6.031583638529594,3.1044425955226465,0.7014845159953801,-1.6183965294913203,-1.7791591339340505,-1.5433300161530434,3.478246143939958,-1.1380023289674053,0.6823468389031678,-1.3316514999945914
20fef060,-6.0322512084657935,3.1027325515804485,0.7020633566529635,-1.6187470072125272,-1.7806785276911687,-1.5394472704313003,3.4764249182974534,-1.1525142497728638,0.6663680030941288,-1.3391150699400207
737c3c3e,-6.031354559313637,3.1031695084898803,0.7001971603219233,-1.617578417338413,-1.7803254398858943,-1.5418497114522673,3.476877839454129,-1.1481211561257976,0.6686947439268625,-1.3409619465699354
26520bb0,-6.03309728734509,3.1028217041436927,0.7015516244982783,-1.6169738989810505,-1.7834680549184245,-1.5410252355920924,3.4746656066381387,-1.1485628883173034,0.6666408148101582,-1.336458399107635
3a09065,-6.032070468172155,3.102684190489119,0.7003595806206674,-1.6177849986435309,-1.7850501476362748,-1.5340916036937569,3.478254061750002,-1.1496938700539,0.6670333098380149,-1.3380431255186889
35a1286f,-6.033333835151316,3.1047726811659455,0.7052333830683172,-1.6160998983261488,-1.7840063676303972,-1.5377633430984188,3.471902662842226,-1.151557526716841,0.6666521791392896,-1.337693496928968
3248b173,-6.032123926244277,3.1033420764436914,0.7011388124299363,-1.6170368102853243,-1.7825142782048669,-1.538761988609617,3.4765727804358204,-1.1488332811182425,0.6740082656048636,-1.3378168803737729
5a45f4d6,-5.771405992662589,2.6913377220881975,0.5801241252524789,-1.372591989026284,-1.627713745156195,-1.5584643285267759,3.911608027586992,-1.0938809550404252,0.6088872022564277,-0.6656133630821608
7bbeebc,-5.770968999997754,2.6916449264280433,0.580730259244994,-1.372257767714141,-1.631838082072472,-1.5609669896059486,3.918226696447588,-1.1010145110352094,0.6112614020229072,-0.6682034539715958
3fdf4a81,-6.0326547672921205,3.1007750461229504,0.698965153246028,-1.6160473374580178,-1.7881947861712941,-1.5486794166305269,3.4773169432905804,-1.1554663962855498,0.6786130780459124,-1.346630230944672
13d86246,-6.033171532303937,3.1009308991953723,0.6993756403748557,-1.618271191768954,-1.7904219155815413,-1.5527376487385014,3.482458856410992,-1.160201519407065,0.6807081136114413,-1.3508532333375138
304823dc,-5.780997676769361,3.4344451972385337,0.7182851061284724,-1.0651433899564622,-1.9382068617494705,-1.4483015552336458,3.4812308595341617,-0.6541758510370667,1.403539228342276,-1.0937138805160422
