strain,tsne_x,tsne_y
257eb400,-9.753148640273464,47.49173307813301
3efb165d,-8.653047555821944,45.79070597844099
6b141244,-8.593219350352014,46.16393156919465
28ecc71f,-8.60108930457128,46.149029769849946
fe3066d,-8.601109316862347,46.1490561074695
40f54507,-8.796828261135243,46.13589970377069
12312fc0,-8.892723917318948,45.52465097880783
117d9c06,-8.915109805697197,45.546624680320704
20632973,-8.796784875191026,46.135731202458324
283d342c,-8.82413484559706,46.25812241238156
57e5ce31,-8.797233826637985,46.135708685619306
34e65483,-9.02358615433165,45.882070545956246
5cf4123,-8.796416166520046,46.13587814923836
2f31bb47,-9.03166904907645,45.68792116888341
5213ce49,-8.892685391172654,45.52461668238503
51da3036,-8.591565405316283,45.467122129898186
b4a6f85,-9.03926060512392,45.72927719409612
2c339b8b,-8.90077844442734,45.53210239256394
49ebc631,-9.0211277217784,45.8795193004551
2fb4111b,-8.88418776415749,46.077248416032994
3617e366,-8.59156518642366,45.467120787966714
2a900e53,-8.915109478261385,45.54662328434801
7232956e,-8.534263245581984,45.47150973051086
885b4b9,-9.021127827330018,45.87951932224559
15901667,-8.892705053247418,45.52463600921147
2e605d03,-9.040500239584654,45.73271811410013
7ae52e19,-8.915526204221427,45.5470813207591
248d16db,-9.021127318130382,45.87952015387707
4dc2057e,-8.796540677755196,46.13580320384999
6047daa3,-8.409468014982304,45.53483735920757
4b153584,-8.275629478536423,45.67943618293112
4b6442af,-8.530349531489552,46.55974171385408
3a67631,-8.479781813516064,46.141244122207084
f69b029,-8.374771417411056,46.07893655074616
3d448b2f,-8.289140575857237,45.96512940097026
4a840024,-8.209471746405635,45.752759395904945
6234f4b9,-8.289006007784042,45.96492342234464
214eea38,-8.334519535386237,46.065437129103366
5b8e43b,-8.273765026947878,45.935540286799714
20fef060,-8.251478512557307,45.85905027690723
737c3c3e,-8.289566946896308,45.966108915608096
26520bb0,-8.266078069295295,45.899584376740314
3a09065,-8.269357767985143,45.89158167830212
35a1286f,-8.295359731142153,45.70113977194383
3248b173,-8.295409884068135,45.700830644454534
5a45f4d6,-7.598255524049866,46.22266877468045
7bbeebc,-7.352304456563597,46.32040635429165
3fdf4a81,-8.155257377393227,46.82381683889372
13d86246,-8.034418138191183,47.056452203666275
304823dc,-7.799536442220067,46.56791133360476
6dcd94aa,-7.599137158933918,46.74443416725655
767405a7,-8.528277606890295,46.56100826208602
239f6c1,-9.797959469781514,47.56038096380438
6338e772,-9.797980107980413,47.56039898113254
67ae404a,-9.797987902803428,47.560405618950824
576c71ea,-8.334519759153556,46.065436922171045
705591c6,-8.301027757460274,45.71637814237449
33858ff,-8.316496742081897,45.660326363248366
7f304ba4,-8.453005891592822,45.50300029221269
3a23fb3c,-8.424674272893816,45.532580689803616
1a611fa0,-8.42478249363113,45.5324773915608
452f96ed,-8.424674522640515,45.53257933447593
5a147ddd,-8.424628328634718,45.53274162409968
520df321,-8.913921957854722,46.05022365011342
7dd02ef8,-8.796416387744483,46.135877802430755
6a142f57,-8.892755285233566,45.52468153532389
276dbc6,-8.452878863542917,45.50305942805242
2582353c,-8.9151094786572,45.546623282439874
25a4820,-9.376827529505366,45.937330691138925
1c39dae7,-9.377233109917029,45.93698854860012
50b213a0,-8.884190582963358,46.077245530007566
307d8c35,-8.591565287399183,45.467120630526146
5d4e312f,-8.591566586220678,45.467120846395986
674f1f8f,-8.796416463978158,46.135877992137026
3cb57e2,-8.915381680813056,46.04880649621393
432081aa,-8.892701342802264,45.52463197048136
2c4e9e21,-8.915109469193302,45.54662370641474
491f3642,-8.892688421835201,45.52462180759571
602453b,-8.79654064560327,46.13580207180259
63568448,-8.815708126897691,44.71674002461299
687565a5,-8.847390959797263,44.44879952586517
4bf79a1a,-9.285032692582545,44.89773799193508
4850bc45,-9.422591587123437,44.679148157622585
5ca1ed47,-7.39466768639729,45.67004579670058
409a7cf4,-7.013317275579262,45.62784177146201
45463168,-6.9335087974552385,45.620075197979325
17fc6057,-7.649530144710209,44.83202938840321
8715d3d,-7.500461063355695,44.68745811094527
