strain,mds1,mds2,mds3,mds4,mds5,mds6,mds7,mds8,mds9,mds10,variant_seq
fc36fc6|0.0398,8.238339517887619,-4.103360643910485,-1.3668716663567866,4.236197447385062,3.8171215162841294,4.197258983994147,2.2154208565822118,-0.0435502795084433,0.212963769846641,-3.5968643003297345,2
656dcc03|0.0951,9.14015469364066,-4.348639934670147,-1.7985147965571386,4.447795552453938,4.621535835829371,4.137400095093692,2.1280394439501755,-0.6041384640976617,0.7434821078716337,-3.671143362564807,2
2e9503dc|0.247,9.38492494719397,-4.451739968443959,-0.9997357236021764,4.2674199190702735,3.9829175732513367,4.613080783654387,1.8747170666590824,-0.6325688426954432,-0.1973147485165406,-3.7499191961066582,19
41ac90af|0.2792,9.25766316331791,-4.337948399152269,-1.3455393685555144,5.012571129249085,3.505364233008443,4.178271460089631,2.1100645168655907,-0.4352596170567758,0.500355851017515,-4.098429015828858,2
4b2d45f3|0.2935,9.12893184706138,-4.552679640873947,-2.0185814931119896,4.595099114598054,3.4130831241685424,4.515436415093181,2.805115205841668,-0.471973574477854,-0.0436631206141071,-3.672525161625332,19
3a345104|0.3498,9.152516256376927,-4.313231987166524,-1.0098646750775495,4.641302960035863,4.3458696520007845,3.870671850228822,2.558269665885784,-0.0523256042981924,0.9593208233537877,-4.064649607581615,2
3a232476|0.3996,8.896604364494902,-4.631318694340201,-1.3267526394888722,4.719129932670305,4.413349258074879,3.999746173738984,2.091613604113365,0.4530447757243876,0.9156153771366302,-4.16261702323568,2
5cbd3972|0.4792,9.125494104507686,-5.071096735772477,-1.0163369133067668,4.696707640353503,3.744076615118906,4.116514010566991,2.103827563985932,0.3387433756713269,-0.0786242831008757,-3.9354197787268426,19
7e53a71d|0.4818,8.9456075478002,-3.80043519840282,-1.8132651654335736,4.782749378882196,4.091530363408346,4.3467704762966815,2.627202447226181,-0.2191740192297817,-0.1642814399301587,-4.385402746270009,19
4c84c3e6|0.5313,8.86810352663246,-4.664801213355353,-1.5042740387316738,4.610819832443562,3.267245339315786,4.893742799763501,2.3204185069755354,0.499472042625303,0.2384465086753825,-4.299315961448812,2
2e8fae4b|0.5317,9.069825026509756,-3.81792403050911,-1.0229275461204288,4.694048970178608,4.376501994186771,4.186246743512298,2.325124526332896,-0.0498308633386468,0.1814537682998808,-4.527580115902516,2
75803f66|0.5905,9.2003407435352,-4.020091288940742,-1.135358628071587,4.398007578778696,3.7744420253286313,4.488788151810817,3.0666314532590944,-0.2693130385723316,0.6474740870380237,-4.106293659900472,2
68cb6a04|0.6505,9.301815046504858,-4.139921972972755,-1.1271930418153202,4.238201987259639,4.549215802534843,4.096826210787914,2.7718517617886507,-0.5691293062307343,0.0914090879571094,-3.788361581714972,2
36b18f47|0.7103,8.903613927680682,-4.144205825578327,-1.3056048198067711,4.288707329436045,4.659703420161834,4.573650247179797,2.0474180678444074,0.2141150388668568,0.7460036109511743,-4.315529430631519,2
26fccb5e|0.7294,9.314748331570186,-4.078206721364097,-1.0081330345262307,4.629312628629134,4.469140547389719,3.9443560591616897,2.165027660286904,-0.5802334210927673,0.1263429149989921,-4.04811343647689,2
74de3b86|0.7352,8.934501609543906,-4.866050506012729,-2.0957459608257034,4.417669937629694,3.5203217122452424,4.813033965670777,2.4104730151002776,0.0021221404057429,0.7371224495328044,-3.689282363345637,2
ad9981|0.7484,8.694069405355801,-4.6935170405936,-1.9423237753074776,4.791513080490629,3.613360895867949,4.49651397291571,2.5525610036177304,0.6497547418053303,0.5547069918763047,-4.226520867183055,2
1d7e7b23|0.7693,8.951251247649981,-4.500854737577592,-1.167947810565555,4.730319221596964,4.095524534490625,3.908094269698535,2.890845659576028,0.4958595036333805,0.5666607225667588,-4.206471305308823,2
6c7f4b3a|0.8302,8.970439195157045,-3.9576227046369055,-1.1826324021361194,4.729175713489806,4.363401834934558,4.320480880151683,1.9664384778789783,0.1039106283270463,0.5426727660565899,-4.557180041045433,2
12c22261|0.8415,8.673143172198875,-4.379775821128643,-2.0051950719849354,4.5806576612322,3.987610842561721,4.685041551748938,2.4827154810439143,0.5200398245645141,-0.1817327785109937,-4.344368297272551,19
7136aa1a|0.8457,8.898733325647514,-4.539683722327959,-1.085397894404424,4.801109823942064,3.893972231637419,4.4011356117788765,1.8580723914908968,0.5908310975073752,0.2098513998349133,-4.501951952530819,2
67a6f550|0.8945,9.26620481277078,-4.390450738044868,-1.566058631690855,4.359804694892931,4.255741089303062,4.04605757093832,2.956453082601382,-0.6271083734131477,0.5040225157673689,-3.5220016878626206,2
255b00c7|0.8959,9.29058264342467,-4.143857534647397,-1.1713159543951157,3.982462309478951,4.052748520949189,4.826545739910976,2.6534783219998026,-0.5592379639550623,-0.2293381660484749,-3.847714380956373,19
7cbde82d|0.9129,8.910354159639455,-4.297775765903605,-1.3982807828434316,4.101450255414428,4.288839959327454,4.9950178531846365,2.096752966790175,0.198690059112743,-0.4152972834559575,-4.221157871356509,19
45750b7f|0.9378,9.14187273966313,-4.549245662770898,-1.9130356097058296,4.79758155656964,3.563277251811094,4.428608006697671,2.1086514750478957,-0.4990020327105802,0.8210288798353143,-3.78356445622581,2
5a80fc39|0.9391,9.018450373232934,-3.984217645743613,-1.92070796264022,4.611852985988301,4.243770416812758,4.39051471474874,2.3864420578212617,-0.4798702039214129,1.016104242901577,-4.031482847570019,2
6ee2899b|0.9619,9.067066779651752,-4.485926020469978,-2.135908067755792,4.395229390897434,4.021654301796501,4.655700677815761,2.166034988329548,-0.549432873145922,-0.3937096086249173,-3.689410651447957,19
6d6dcdbf|0.9875,8.871248100187739,-4.426416645427548,-1.7068520182039904,4.989164256344802,3.323729676350866,4.567011531201614,2.2426539412624558,0.2730113232386948,-0.1687743507045453,-4.424558276488643,19
3ca0f6a0|0.989,8.971926124706352,-3.897062156918517,-1.639049066515225,4.585617911370393,4.80223723114703,4.203137848893316,2.056119955367421,-0.265369195026736,0.3100670485242084,-4.251005415025405,2
3cde3ac6|0.9995,9.005164275064992,-3.952473521130621,-1.0228964394397364,4.279839027773211,4.279330218161543,4.530255888338312,2.8510356294882264,0.2012601891146125,-0.0376277963444191,-4.4065486589237945,19
49eddf42|0.9995,8.71245938067817,-4.787875584537084,-2.041721503282785,4.655919907930649,4.191175511365085,4.477362076685253,1.864680836962989,0.4799430735857113,0.244769964433157,-4.096972129109619,2
466d9b35|1.0401,9.239445286234012,-4.669291347777626,-1.6395274260512829,4.078012486283318,4.161387044565481,4.727891101966768,2.012951214907056,-0.6059295501123505,0.4730002270688698,-3.477569266457009,2
1a42436d|1.0458,8.919768635689312,-4.865224825461461,-2.023969450178428,4.264183008993378,3.5476455171354844,4.881895894462462,2.6319648183357005,0.1035769255818171,0.5053668683669131,-3.690798182324077,2
31253e7|1.0502,8.870147768904491,-3.962422796038615,-1.6481776631079,4.639068448514005,4.392958167288639,4.438294164066421,2.189686970700293,0.0535083411734597,0.931156127091656,-4.392418603349939,2
349e5b79|1.0516,9.435772309819342,-4.185788659790109,-1.09194725452476,4.324575913592552,3.9868079091100985,4.335598138101045,2.6307622930253305,-0.828073065735216,0.229547249501605,-3.74122065205532,2
35099fc5|1.0626,9.107984826543564,-3.9886873496972415,-1.0613707594351556,4.801441696353351,4.202964480753658,4.001529266005392,2.524035175662017,-0.0597158171458294,-0.217587364738962,-4.412014135054642,19
42c72006|1.0745,8.497791408344268,-3.707123617505847,-2.096294381971574,3.466113537245843,4.437463692653926,4.817919180755101,2.213030511704928,0.4282844859432934,0.3735324333569236,-4.903987061360031,2
13e775a7|1.0967,8.971905917448911,-4.616352467911635,-0.9187264015640132,4.355744067624564,3.7889072605362415,4.732349842925228,2.365337265236189,0.6308313153613857,0.9986979271174984,-4.04212364672848,2
390067d8|1.1017,9.226408567625352,-3.879174535320761,-1.336796179621771,4.611134293387762,4.514113345288425,4.006064497814269,2.444127072176985,-0.630757596968466,0.2776587892763537,-4.066465450436189,2
cbe7d7f|1.1132,9.109497928537198,-5.214088462333281,-1.404901657154864,4.610646609645279,3.626033122422604,4.149175782034235,2.4420165511683787,0.2301683418354634,0.4106853982422169,-3.631288090948894,2
668103b5|1.1137,8.92125495071418,-4.592885976761331,-2.092283211225604,4.500165360317363,3.956480779774485,4.28569066406086,3.0758956606720558,0.0353154083781896,0.3856374007798415,-3.7254762165465136,2
